tad;pd;class
5.25870236;14.9596704;gr2db
10.73260298;18.63926307;gr2db
15.12357815;16.72603759;gr2db
16.81461092;2.073988333;nexgr
13.39648252;4.602650689;nexgr
3.302865158;3.384083874;gr2db
1.905635055;13.28505269;oscdc
19.83138114;12.31356851;gr2db
8.040626516;15.43883776;gr2db
3.969557638;11.38566377;oscdc
15.49990262;8.107930985;gr2db
16.60067366;12.92266115;gr2db
3.284711746;10.07652155;oscdc
18.53497044;18.13352932;gr2db
18.71646426;1.797887431;nexgr
13.91337209;9.114462278;gr2db
17.76324842;5.776745472;nexgr
6.24128265;19.99612156;gr2db
19.78343552;14.38103409;gr2db
1.822720675;10.89749805;oscdc
5.507515651;2.671040095;gr2db
20.11064771;2.200440707;nexgr
7.736422706;13.13879826;gr2db
9.876957629;13.3240407;gr2db
11.97152349;10.32499465;gr2db
9.522580665;6.532645058;gr2db
16.5221043;20.02371535;gr2db
8.147559924;3.141261901;nexgr
12.90602642;12.03933771;gr2db
11.70085565;20.10835336;gr2db
4.415824507;14.26228462;oscdc
2.074569541;9.071867701;oscdc
11.36931726;7.59525212;gr2db
19.36424675;8.956341948;nexgr
13.16893892;16.8813873;gr2db
11.60244542;14.13899536;gr2db
9.414595601;17.91549364;gr2db
4.547741648;7.092486241;gr2db
3.146844724;2.163668692;gr2db
15.08138963;15.62412263;gr2db
10.0111935;11.47850559;gr2db
17.94013304;14.44819253;gr2db
9.286225921;4.472514383;nexgr
3.88931201;16.58348048;oscdc
6.040441133;14.89954589;oscdc
3.444528515;7.14700077;oscdc
8.574246777;5.921602512;gr2db
6.601833587;1.899951485;nexgr
14.24695765;14.7644531;gr2db
14.72206644;4.384077415;nexgr
7.221664933;7.45316235;gr2db
6.928912902;17.76855102;gr2db
14.41059558;16.91312878;gr2db
12.27847503;3.412707163;nexgr
10.16785221;20.24012875;gr2db
2.48243151;5.471174058;oscdc
19.10654555;4.170946964;nexgr
12.88441447;7.809156195;gr2db
16.39452347;18.34048531;gr2db
14.90396555;6.451551235;nexgr
6.429371325;4.910747894;gr2db
5.428048237;16.25953522;oscdc
18.62817164;8.271847856;nexgr
7.853869585;18.44419397;gr2db
11.87577429;12.5348137;gr2db
12.54964906;19.59505332;gr2db
5.000361712;18.74748586;oscdc
17.05258842;6.218362323;nexgr
5.1254203;5.243946514;gr2db
1.776425198;2.861724232;gr2db
13.62853552;10.75882749;gr2db
19.25839513;19.43401472;gr2db
18.21722986;17.08113383;gr2db
16.7592053;3.885913488;nexgr
4.968908594;8.544528812;gr2db
7.661633095;4.252777204;gr2db
18.16081459;12.80174764;gr2db
7.566375759;19.79159619;gr2db
10.2156061;7.996960957;gr2db
8.996646829;15.93064907;gr2db
3.716515945;19.64355035;oscdc
15.66210547;12.44270998;gr2db
17.49561862;10.56682878;gr2db
9.791688744;1.983970531;nexgr
11.46420535;4.897925299;nexgr
19.64115257;9.906786926;nexgr
4.091425216;4.556406778;gr2db
5.931944833;9.635914586;gr2db
8.479284549;9.72553202;gr2db
2.732952709;14.69914736;oscdc
20.50380728;3.588633876;nexgr
10.67909137;17.65563487;gr2db
14.13260722;5.378446381;nexgr
17.10758661;16.48033964;gr2db
2.278044631;7.671932117;oscdc
16.28312641;1.531797705;nexgr
20.73622828;16.61169525;gr2db
11.01206225;10.64522035;gr2db
9.060026436;12.66627265;gr2db
13.59813206;6.826853482;nexgr
1.243241564;11.91240872;oscdc
15.3264088;19.13231502;gr2db
18.95168202;6.081156104;nexgr
1.463542627;16.34543443;oscdc
10.39092644;14.50761843;gr2db
1.615871948;19.30059234;oscdc
13.01767858;9.366759507;gr2db
12.69761433;2.307767777;nexgr
14.02840226;12.23606908;gr2db
7.11102139;2.985162951;nexgr
16.16043207;15.26412232;gr2db
12.05728166;15.39741906;gr2db
20.8088493;18.82545796;gr2db
6.834892578;20.95297883;gr2db
5.831613669;6.756561415;nexgr
4.389005598;10.48740034;oscdc
3.002270776;11.50461722;oscdc
9.354606557;19.01002531;gr2db
6.152112995;13.53569264;oscdc
10.92047759;6.616344032;gr2db
17.56446608;18.09616809;gr2db
16.09333046;6.982045235;nexgr
7.339914346;12.16769761;nexgr
17.2863333;11.85000184;gr2db
12.15396351;17.33865954;gr2db
14.68707326;9.879173829;gr2db
2.958665066;18.29069358;oscdc
10.80805102;3.616975383;nexgr
15.55171626;3.049853058;nexgr
20.03245408;7.353916909;nexgr
19.03321383;2.754265198;nexgr
1.003089893;8.722874929;oscdc
9.928201123;9.577698706;gr2db
19.43105323;13.49736816;gr2db
13.21497397;20.57798407;gr2db
7.025009463;10.21471577;nexgr
20.6852714;11.23493387;gr2db
6.734529058;15.78252733;gr2db
18.01270916;4.738919653;nexgr
4.265717632;2.586432971;gr2db
7.430736222;5.694288962;gr2db
14.81201003;13.67843269;gr2db
18.48978827;15.50784749;gr2db
16.40405792;8.871707231;gr2db
2.858030651;16.05182831;oscdc
3.519119251;13.05643076;oscdc
18.36134349;9.415021342;nexgr
3.688674912;8.313235175;oscdc
13.82668484;15.8086456;gr2db
5.601711231;1.024054901;nexgr
9.180162131;3.277366013;nexgr
4.883727183;20.48651095;oscdc
10.56785765;12.78332836;gr2db
4.694223662;17.4596421;oscdc
8.646960321;7.721750901;gr2db
13.7591057;18.53557983;gr2db
17.69045683;19.88233951;gr2db
8.267872544;17.22329244;gr2db
13.45452728;3.793651115;nexgr
4.108945319;6.12367593;gr2db
19.57116795;17.54114299;gr2db
2.658033839;3.972070973;gr2db
8.787619713;20.82892207;gr2db
12.44212072;11.11221526;gr2db
18.84170345;11.60199015;gr2db
17.34619706;2.440423305;nexgr
12.33509437;5.87205852;nexgr
10.40595171;16.16781842;gr2db
7.923324652;1.207296764;nexgr
17.88717695;7.211305097;nexgr
1.114008838;17.84429732;oscdc
14.55242339;8.063089632;gr2db
5.387723122;11.74882624;oscdc
14.32151739;1.666735489;nexgr
16.95219128;13.95912647;gr2db
8.825463939;11.06697078;gr2db
15.20993975;20.602734;gr2db
9.609954071;5.588418133;gr2db
2.312050693;10.13457268;oscdc
20.37626525;5.007100795;nexgr
4.767941592;15.16484289;oscdc
12.78794414;13.81533088;gr2db
5.727123084;4.054022139;gr2db
1.556586854;6.341268767;oscdc
6.539679735;18.94268048;gr2db
11.57360802;8.605320667;gr2db
15.74389455;17.16442789;gr2db
20.9220298;9.213002955;nexgr
20.49428293;15.04750679;gr2db
15.80181179;5.173985526;nexgr
8.320806234;14.06303587;gr2db
1.337128896;13.79072536;oscdc
11.16101007;1.454966674;nexgr
2.180209894;1.379453285;gr2db
11.21029243;19.25041039;gr2db
15.96099154;10.92402525;gr2db
2.569292519;20.78384242;oscdc
19.92984493;1.11128849;nexgr
20.25930309;20.31982976;d1gra
6.355288322;8.404553267;gr2db
